"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"CHM00056187","WENJIANG, CH","2004-07-16","0.87",,"74","84","69"
"CHM00056187","WENJIANG, CH","2004-07-17","0.00",,"79","87","72"
"CHM00056187","WENJIANG, CH","2004-07-18","0.00",,"80","89","71"
"CHM00056187","WENJIANG, CH","2004-07-19","0.01",,"78","90","72"
"CHM00056187","WENJIANG, CH","2004-07-20","0.39",,"77","88","71"
"CHM00056187","WENJIANG, CH","2004-07-21","0.46",,"75","79","69"
"CHM00056187","WENJIANG, CH","2004-07-22","0.24",,"74","80","72"
"CHM00056187","WENJIANG, CH","2004-07-23","1.09",,"77","85","71"
"CHM00056187","WENJIANG, CH","2004-07-24","0.06",,"80","90","74"
"CHM00056187","WENJIANG, CH","2004-07-25","0.02",,"81","90","75"
"CHM00056187","WENJIANG, CH","2004-07-26","0.01",,"78","83","76"
"CHM00056187","WENJIANG, CH","2004-07-27","0.30",,"74","81","70"
"CHM00056187","WENJIANG, CH","2004-07-28","0.43",,"77","87","69"
"CHM00056187","WENJIANG, CH","2004-07-29","0.00",,"80","89","72"
"CHM00056187","WENJIANG, CH","2004-07-30","0.17",,"77","83","72"
"CHM00056187","WENJIANG, CH","2004-07-31","0.08",,"76","86","72"
"CHM00056187","WENJIANG, CH","2004-08-01","0.00",,"77","84","74"
"CHM00056187","WENJIANG, CH","2004-08-02","0.00",,"79","85","74"
"CHM00056187","WENJIANG, CH","2004-08-03","3.51",,"75","80","72"
"CHM00056187","WENJIANG, CH","2004-08-04","0.00",,"77","92","72"
"CHM00056187","WENJIANG, CH","2004-08-05","1.15",,"77","85","72"
"CHM00056187","WENJIANG, CH","2004-08-06","0.00",,"78","87","72"
"CHM00056187","WENJIANG, CH","2004-08-07","0.00",,"79","89","70"
"CHM00056187","WENJIANG, CH","2004-08-08","0.00",,"80","91","72"
"CHM00056187","WENJIANG, CH","2004-08-09","0.01",,"81","88","76"
"CHM00056187","WENJIANG, CH","2004-08-10","0.62",,"81","91","71"
"CHM00056187","WENJIANG, CH","2004-08-11","0.00",,"83","91","77"
"CHM00056187","WENJIANG, CH","2004-08-12","1.29",,"81","92","73"
"CHM00056187","WENJIANG, CH","2004-08-13","0.00",,"79","83","76"
"CHM00056187","WENJIANG, CH","2004-08-14","0.12",,"81","91","76"
"CHM00056187","WENJIANG, CH","2004-08-15","0.00",,"80","91","74"
"CHM00056187","WENJIANG, CH","2004-08-16","0.00",,"79","89","74"
"CHM00056187","WENJIANG, CH","2004-08-17","0.04",,"78","88","72"
"CHM00056187","WENJIANG, CH","2004-08-18","0.00",,"78","90","69"
"CHM00056187","WENJIANG, CH","2004-08-19","0.11",,"74","82","72"
"CHM00056187","WENJIANG, CH","2004-08-20","0.04",,"76","85","69"
"CHM00056187","WENJIANG, CH","2004-08-21","0.00",,"74","78","71"
"CHM00056187","WENJIANG, CH","2004-08-22","0.00",,"75","85","71"
"CHM00056187","WENJIANG, CH","2004-08-23","0.20",,"74","76","71"
"CHM00056187","WENJIANG, CH","2004-08-24","0.27",,"72","76","69"
"CHM00056187","WENJIANG, CH","2004-08-25","0.01",,"75","87","70"
"CHM00056187","WENJIANG, CH","2004-08-26","0.04",,"74","77","71"
"CHM00056187","WENJIANG, CH","2004-08-27","0.00",,"75","84","67"
"CHM00056187","WENJIANG, CH","2004-08-28","0.00",,"77","87","70"
"CHM00056187","WENJIANG, CH","2004-08-29","0.33",,"74","79","69"
"CHM00056187","WENJIANG, CH","2004-08-30","0.00",,"76","86","69"
"CHM00056187","WENJIANG, CH","2004-08-31","0.12",,"73","78","70"
"CHM00056187","WENJIANG, CH","2004-09-01","0.05",,"73","77","70"
"CHM00056187","WENJIANG, CH","2004-09-02","0.00",,"75","80","71"
"CHM00056187","WENJIANG, CH","2004-09-03","0.00",,"76","82","72"
"CHM00056187","WENJIANG, CH","2004-09-04","0.02",,"77","86","73"
"CHM00056187","WENJIANG, CH","2004-09-05","0.04",,"76","81","72"
"CHM00056187","WENJIANG, CH","2004-09-06","0.00",,"75","79","72"
"CHM00056187","WENJIANG, CH","2004-09-07","0.02",,"73","82","68"
"CHM00056187","WENJIANG, CH","2004-09-08","0.00",,"72","82","65"
"CHM00056187","WENJIANG, CH","2004-09-09","0.00",,"72","84","62"
"CHM00056187","WENJIANG, CH","2004-09-10","0.00",,"71","84","63"
"CHM00056187","WENJIANG, CH","2004-09-11","0.00",,"71","76","68"
"CHM00056187","WENJIANG, CH","2004-09-12","0.12",,"67","70","65"
"CHM00056187","WENJIANG, CH","2004-09-13","0.20",,"69","79","63"
"CHM00056187","WENJIANG, CH","2004-09-14","0.00",,"69","78","62"
"CHM00056187","WENJIANG, CH","2004-09-15","0.00",,"71","83","63"
"CHM00056187","WENJIANG, CH","2004-09-16","0.00",,"75","83","69"
"CHM00056187","WENJIANG, CH","2004-09-17","0.00",,"77","84","71"
"CHM00056187","WENJIANG, CH","2004-09-18","0.28",,"71","78","68"
"CHM00056187","WENJIANG, CH","2004-09-19","0.64",,"67","70","66"
"CHM00056187","WENJIANG, CH","2004-09-20","0.00",,"71","83","65"
"CHM00056187","WENJIANG, CH","2004-09-21","0.00",,"72","81","65"
"CHM00056187","WENJIANG, CH","2004-09-22","0.00",,"70","78","65"
"CHM00056187","WENJIANG, CH","2004-09-23","0.09",,"67","69","66"
"CHM00056187","WENJIANG, CH","2004-09-24","0.02",,"66","69","64"
"CHM00056187","WENJIANG, CH","2004-09-25","0.00",,"70","78","65"
"CHM00056187","WENJIANG, CH","2004-09-26","0.08",,"68","76","62"
"CHM00056187","WENJIANG, CH","2004-09-27","0.01",,"68","71","66"
"CHM00056187","WENJIANG, CH","2004-09-28","0.00",,"68","77","60"
"CHM00056187","WENJIANG, CH","2004-09-29","0.00",,"69","74","67"
"CHM00056187","WENJIANG, CH","2004-09-30","0.00",,"69","76","63"
"CHM00056187","WENJIANG, CH","2004-10-01","0.72",,"57","64","53"
"CHM00056187","WENJIANG, CH","2004-10-02","0.00",,"59","67","49"
"CHM00056187","WENJIANG, CH","2004-10-03","0.05",,"61","68","56"
"CHM00056187","WENJIANG, CH","2004-10-04","0.17",,"57","62","56"
"CHM00056187","WENJIANG, CH","2004-10-05","0.49",,"58","64","53"
"CHM00056187","WENJIANG, CH","2004-10-06","0.07",,"60","67","54"
"CHM00056187","WENJIANG, CH","2004-10-07","0.00",,"61","75","51"
"CHM00056187","WENJIANG, CH","2004-10-08","0.00",,"63","69","59"
"CHM00056187","WENJIANG, CH","2004-10-09","0.00",,"64","68","61"
"CHM00056187","WENJIANG, CH","2004-10-10","0.22",,"65","73","59"
"CHM00056187","WENJIANG, CH","2004-10-11","0.22",,"65","73","60"
"CHM00056187","WENJIANG, CH","2004-10-12","0.00",,"62","68","58"
"CHM00056187","WENJIANG, CH","2004-10-13","0.00",,"61","65","59"
"CHM00056187","WENJIANG, CH","2004-10-14","0.00",,"61","65","59"
"CHM00056187","WENJIANG, CH","2004-10-15","0.04",,"57","60","55"
"CHM00056187","WENJIANG, CH","2004-10-16","0.04",,"57","60","55"
"CHM00056187","WENJIANG, CH","2004-10-17","0.00",,"61","71","57"
"CHM00056187","WENJIANG, CH","2004-10-18","0.05",,"63","71","58"
"CHM00056187","WENJIANG, CH","2004-10-19","0.10",,"62","65","60"
"CHM00056187","WENJIANG, CH","2004-10-20","0.00",,"61","62","60"
"CHM00056187","WENJIANG, CH","2004-10-21","0.04",,"58","62","57"
"CHM00056187","WENJIANG, CH","2004-10-22","0.13",,"54","58","52"
"CHM00056187","WENJIANG, CH","2004-10-23","0.11",,"54","56","53"
"CHM00056187","WENJIANG, CH","2004-10-24","0.00",,"58","69","50"
"CHM00056187","WENJIANG, CH","2004-10-25","0.00",,"60","69","56"
"CHM00056187","WENJIANG, CH","2004-10-26","0.12",,"59","69","53"
"CHM00056187","WENJIANG, CH","2004-10-27","1.44",,"58","62","57"
"CHM00056187","WENJIANG, CH","2004-10-28","0.00",,"58","60","57"
"CHM00056187","WENJIANG, CH","2004-10-29","0.00",,"60","68","56"
"CHM00056187","WENJIANG, CH","2004-10-30","0.00",,"61","65","58"
"CHM00056187","WENJIANG, CH","2004-10-31","0.00",,"63","74","57"
"CHM00056187","WENJIANG, CH","2004-11-01","0.00",,"60","72","54"
"CHM00056187","WENJIANG, CH","2004-11-02","0.00",,"60","71","52"
"CHM00056187","WENJIANG, CH","2004-11-03","0.00",,"63","69","60"
"CHM00056187","WENJIANG, CH","2004-11-04","0.00",,"63","72","56"
"CHM00056187","WENJIANG, CH","2004-11-05","0.00",,"60","73","51"
"CHM00056187","WENJIANG, CH","2004-11-06","0.00",,"60","66","57"
"CHM00056187","WENJIANG, CH","2004-11-07","0.00",,"62","67","59"
"CHM00056187","WENJIANG, CH","2004-11-08","0.02",,"62","69","58"
"CHM00056187","WENJIANG, CH","2004-11-09","0.18",,"58","61","57"
"CHM00056187","WENJIANG, CH","2004-11-10","0.31",,"59","67","54"
"CHM00056187","WENJIANG, CH","2004-11-11","0.00",,"57","61","55"
"CHM00056187","WENJIANG, CH","2004-11-12","0.00",,"53","57","51"
"CHM00056187","WENJIANG, CH","2004-11-13","0.00",,"56","63","52"
"CHM00056187","WENJIANG, CH","2004-11-14","0.04",,"56","63","52"
"CHM00056187","WENJIANG, CH","2004-11-15","0.00",,"53","62","47"
"CHM00056187","WENJIANG, CH","2004-11-16","0.00",,"54","62","46"
"CHM00056187","WENJIANG, CH","2004-11-17","0.00",,"51","60","47"
"CHM00056187","WENJIANG, CH","2004-11-18","0.00",,"49","60","41"
"CHM00056187","WENJIANG, CH","2004-11-19","0.06",,"53","54","52"
"CHM00056187","WENJIANG, CH","2004-11-20","0.06",,"53","63","49"
"CHM00056187","WENJIANG, CH","2004-11-21","0.00",,"54","59","52"
"CHM00056187","WENJIANG, CH","2004-11-22","0.08",,"52","55","51"
"CHM00056187","WENJIANG, CH","2004-11-23","0.00",,"54","60","51"
"CHM00056187","WENJIANG, CH","2004-11-24","0.01",,"51","55","48"
"CHM00056187","WENJIANG, CH","2004-11-25","0.00",,"45","48","44"
"CHM00056187","WENJIANG, CH","2004-11-26","0.07",,"44","48","42"
"CHM00056187","WENJIANG, CH","2004-11-27","0.00",,"45","53","41"
"CHM00056187","WENJIANG, CH","2004-11-28","0.00",,"44","53","34"
"CHM00056187","WENJIANG, CH","2004-11-29","0.00",,"46","51","41"
"CHM00056187","WENJIANG, CH","2004-11-30","0.00",,"48","49","46"
"CHM00056187","WENJIANG, CH","2004-12-01","0.02",,"46","48","46"
"CHM00056187","WENJIANG, CH","2004-12-02","0.00",,"49","53","46"
"CHM00056187","WENJIANG, CH","2004-12-03","0.00",,"52","63","47"
"CHM00056187","WENJIANG, CH","2004-12-04","0.00",,"47","62","37"
"CHM00056187","WENJIANG, CH","2004-12-05","0.00",,"48","51","44"
"CHM00056187","WENJIANG, CH","2004-12-06","0.00",,"51","58","47"
"CHM00056187","WENJIANG, CH","2004-12-07","0.00",,"45","60","35"
"CHM00056187","WENJIANG, CH","2004-12-08","0.00",,"44","55","36"
"CHM00056187","WENJIANG, CH","2004-12-09","0.00",,"47","53","41"
"CHM00056187","WENJIANG, CH","2004-12-10","0.00",,"49","57","40"
"CHM00056187","WENJIANG, CH","2004-12-11","0.00",,"49","59","42"
"CHM00056187","WENJIANG, CH","2004-12-12","0.00",,"46","58","38"
"CHM00056187","WENJIANG, CH","2004-12-13","0.00",,"48","53","43"
"CHM00056187","WENJIANG, CH","2004-12-14","0.00",,"46","60","37"
"CHM00056187","WENJIANG, CH","2004-12-15","0.00",,"46","55","39"
"CHM00056187","WENJIANG, CH","2004-12-16","0.00",,"46","50","45"
"CHM00056187","WENJIANG, CH","2004-12-17","0.00",,"50","62","44"
"CHM00056187","WENJIANG, CH","2004-12-18","0.00",,"50","53","44"
"CHM00056187","WENJIANG, CH","2004-12-19","0.00",,"50","52","49"
"CHM00056187","WENJIANG, CH","2004-12-20","0.00",,"49","52","47"
"CHM00056187","WENJIANG, CH","2004-12-21","0.03",,"49","50","47"
"CHM00056187","WENJIANG, CH","2004-12-22","0.00",,"47","53","44"
"CHM00056187","WENJIANG, CH","2004-12-23","0.00",,"45","47","44"
"CHM00056187","WENJIANG, CH","2004-12-24","0.00",,"44","47","42"
"CHM00056187","WENJIANG, CH","2004-12-25","0.00",,"43","47","41"
"CHM00056187","WENJIANG, CH","2004-12-26","0.14",,"42","46","41"
"CHM00056187","WENJIANG, CH","2004-12-27","0.00",,"41","46","38"
"CHM00056187","WENJIANG, CH","2004-12-28","0.00",,"37","42","31"
"CHM00056187","WENJIANG, CH","2004-12-29","0.01",,"38","43","36"
"CHM00056187","WENJIANG, CH","2004-12-30","0.00",,"36","41","32"
"CHM00056187","WENJIANG, CH","2004-12-31","0.00",,"35","39","31"
